1652734316, deniz, Tavuk Dürüm, 1716220527, 15, 80, 2
476813781, deniz, Lahmacun, 1716220530, 20, 75, 2
218679486, deniz, Yüksük Çorbası, 1716220532, 2, 46, 2
502292587, deniz, Hamburger, 1716220534, 30, 250, 2
1976283555, deniz, Tavuk Dürüm, 1716220536, 15, 80, 2
938319372, deniz, Lahmacun, 1716220537, 20, 75, 2
942180041, emre, Tost, 1716220549, 10, 60, 2
1038984968, emre, Lahmacun, 1716220551, 20, 75, 2
1407918693, emre, Tavuk Dürüm, 1716220553, 15, 80, 2
296159698, emre, Yüksük Çorbası, 1716220555, 2, 46, 2
1141416893, ramaz, Tost, 1716220579, 10, 60, 2
18086526, ramaz, Tavuk Dürüm, 1716220615, 15, 80, 2
649279014, ramaz, Hamburger, 1716220618, 30, 250, 2
1141416893, ramaz, Tost, 1716220579, 10, 60, 2
18086526, ramaz, Tavuk Dürüm, 1716220615, 15, 80, 2
649279014, ramaz, Hamburger, 1716220618, 30, 250, 2
1652734316, deniz, Tavuk Dürüm, 1716220527, 15, 80, 2
476813781, deniz, Lahmacun, 1716220530, 20, 75, 2
218679486, deniz, Yüksük Çorbası, 1716220532, 2, 46, 2
502292587, deniz, Hamburger, 1716220534, 30, 250, 2
1976283555, deniz, Tavuk Dürüm, 1716220536, 15, 80, 2
938319372, deniz, Lahmacun, 1716220537, 20, 75, 2
942180041, emre, Tost, 1716220549, 10, 60, 2
1038984968, emre, Lahmacun, 1716220551, 20, 75, 2
1407918693, emre, Tavuk Dürüm, 1716220553, 15, 80, 2
296159698, emre, Yüksük Çorbası, 1716220555, 2, 46, 2
1141416893, ramaz, Tost, 1716220579, 10, 60, 2
18086526, ramaz, Tavuk Dürüm, 1716220615, 15, 80, 2
649279014, ramaz, Hamburger, 1716220618, 30, 250, 2
1141416893, ramaz, Tost, 1716220579, 10, 60, 2
18086526, ramaz, Tavuk Dürüm, 1716220615, 15, 80, 2
649279014, ramaz, Hamburger, 1716220618, 30, 250, 2
